candidate,TP,SL,fee_pct,signal_ts,direction,entry,exit_ts,exit_price,reason,hold_ms,gross_pnl,fees,net_pnl
D,0.3,0.15,0.001,1789737244623,LONG,105.64,1789737668031,105.96,TP,423408,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737246635,LONG,105.64,1789737668031,105.96,TP,421396,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737247659,LONG,105.64,1789737668031,105.96,TP,420372,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737261415,LONG,105.63,1789737663466,105.95,TP,402051,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737265459,LONG,105.63,1789737663466,105.95,TP,398007,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737267498,LONG,105.64,1789737668031,105.96,TP,400533,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737269519,LONG,105.65,1789737691313,105.97,TP,421794,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737280709,SHORT,105.64,1789737482425,105.8,SL,201716,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737289864,LONG,105.63,1789737663466,105.95,TP,373602,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737299008,SHORT,105.61,1789737388108,105.77,SL,89100,-0.0224,0.0296,-0.0520
D,0.3,0.15,0.001,1789737308613,LONG,105.61,1789737607864,105.94,TP,299251,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737318204,LONG,105.62,1789737607864,105.94,TP,289660,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737332922,LONG,105.61,1789737607864,105.94,TP,274942,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737341003,SHORT,105.6,1789737388108,105.77,SL,47105,-0.0238,0.0296,-0.0534
D,0.3,0.15,0.001,1789737345587,LONG,105.61,1789737607864,105.94,TP,262277,0.0462,0.0296,0.0166
D,0.3,0.15,0.001,1789737360307,LONG,105.63,1789737663466,105.95,TP,303159,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737367913,LONG,105.64,1789737668031,105.96,TP,300118,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737373993,LONG,105.66,1789737692836,105.98,TP,318843,0.0448,0.0296,0.0152
D,0.3,0.15,0.001,1789737380029,SHORT,105.66,1789737494073,105.83,SL,114044,-0.0238,0.0296,-0.0534
D,0.3,0.15,0.001,1789737502102,SHORT,105.84,1789737726711,106,SL,224609,-0.0224,0.0297,-0.0521
D,0.3,0.15,0.001,1789737505134,SHORT,105.84,1789737726711,106,SL,221577,-0.0224,0.0297,-0.0521
D,0.3,0.15,0.001,1789737776885,LONG,106.02,1789737818471,105.86,SL,41586,-0.0224,0.0297,-0.0521
D,0.3,0.15,0.001,1789737778409,LONG,106.03,1789737817971,105.87,SL,39562,-0.0224,0.0297,-0.0521
D,0.3,0.2,0.001,1789736948296,SHORT,105.62,1789737494555,105.86,SL,546259,-0.0336,0.0296,-0.0632
D,0.3,0.2,0.001,1789736988436,LONG,105.64,1789737668031,105.96,TP,679595,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737002128,LONG,105.61,1789737607864,105.94,TP,605736,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737004165,SHORT,105.59,1789737485445,105.81,SL,481280,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737008174,LONG,105.61,1789737607864,105.94,TP,599690,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737018795,SHORT,105.61,1789737494073,105.83,SL,475278,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737030479,LONG,105.62,1789737607864,105.94,TP,577385,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737032494,LONG,105.64,1789737668031,105.96,TP,635537,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737034008,LONG,105.64,1789737668031,105.96,TP,634023,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737057793,LONG,105.62,1789737607864,105.94,TP,550071,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737059319,LONG,105.63,1789737663466,105.95,TP,604147,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737062867,SHORT,105.62,1789737494555,105.86,SL,431688,-0.0336,0.0296,-0.0632
D,0.3,0.2,0.001,1789737071973,SHORT,105.61,1789737494073,105.83,SL,422100,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737076027,LONG,105.6,1789737578521,105.92,TP,502494,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737107395,SHORT,105.62,1789737494555,105.86,SL,387160,-0.0336,0.0296,-0.0632
D,0.3,0.2,0.001,1789737126637,LONG,105.61,1789737607864,105.94,TP,481227,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737169664,LONG,105.61,1789737607864,105.94,TP,438200,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737173194,LONG,105.59,1789737578521,105.92,TP,405327,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737184910,LONG,105.6,1789737578521,105.92,TP,393611,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737187440,LONG,105.59,1789737578521,105.92,TP,391081,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737193502,LONG,105.6,1789737578521,105.92,TP,385019,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737195007,SHORT,105.58,1789737482425,105.8,SL,287418,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737199279,LONG,105.61,1789737607864,105.94,TP,408585,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737206609,SHORT,105.62,1789737494555,105.86,SL,287946,-0.0336,0.0296,-0.0632
D,0.3,0.2,0.001,1789737208112,SHORT,105.61,1789737494073,105.83,SL,285961,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737209644,SHORT,105.61,1789737494073,105.83,SL,284429,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737219262,LONG,105.61,1789737607864,105.94,TP,388602,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737244623,LONG,105.64,1789737668031,105.96,TP,423408,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737246635,LONG,105.64,1789737668031,105.96,TP,421396,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737247659,LONG,105.64,1789737668031,105.96,TP,420372,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737261415,LONG,105.63,1789737663466,105.95,TP,402051,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737265459,LONG,105.63,1789737663466,105.95,TP,398007,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737267498,LONG,105.64,1789737668031,105.96,TP,400533,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737269519,LONG,105.65,1789737691313,105.97,TP,421794,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737280709,SHORT,105.64,1789737494555,105.86,SL,213846,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737289864,LONG,105.63,1789737663466,105.95,TP,373602,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737299008,SHORT,105.61,1789737494073,105.83,SL,195065,-0.0308,0.0296,-0.0604
D,0.3,0.2,0.001,1789737308613,LONG,105.61,1789737607864,105.94,TP,299251,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737318204,LONG,105.62,1789737607864,105.94,TP,289660,0.0448,0.0296,0.0152
D,0.3,0.2,0.001,1789737332922,LONG,105.61,1789737607864,105.94,TP,274942,0.0462,0.0296,0.0166
D,0.3,0.2,0.001,1789737341003,SHORT,105.6,1789737494073,105.83,SL,153070,-0.0322,0.0296,-0.0618
